,School,comment,Validated_Labels
217,CU Boulder,there are some resources but i don’t really have time to interact with them nor do i want to. my professors high expectations stress me out the most,NEUTRAL
218,Los Angeles City College,i'm a oss student thus i do get more additional help from my disability and its has more a help tool and assistance in my college life,SATISFIED
219,Laredo Community College,i didn’t know there were mental health services provided by laredo college ,NEUTRAL
220,UC Berkeley,i’d say they just need to be more easily accessible and open to students.,DISSATISFIED
221,George Mason University,"overall everyone was very understanding and were patient with me. however, the department only allows calls to set appointments which is not easy for those with mental health issues/concerns. having an email system would be much more inviting. ",MIXED
222,Pennsylvania State University-World Campus,they only provide in person counseling which does not work for everyone’s schedule,DISSATISFIED
223,Harrisburg Area Community College,"i love that there is an option of taking a mental health day as a student, it goes a long way. something that could be improved is the flexibility of the “mental health day” for students in a more fast paced programs(e.g nursing).",MIXED
224,University of Arizona,"the programs in place are excellent, but there is a cost that some students are unable to pay. mental health services should be free or more discounted.",MIXED
225,Arizona State,need more counselors for the number of students. add a psychiatrist who can prescribe medications affordably. ,DISSATISFIED
226,UTM,"i think the on campus one is working well, but we’re not doing anything for our outreach centers (ie parsons) ",MIXED
227,University of Nevada-Reno,general attention should be increased for he availability of mental health services on campus. ,DISSATISFIED
228,Bethel College-Indiana,the therapists need to be trained better to deal with current student issues.,DISSATISFIED
229,Arizona State,"there is a lot of awareness about resources, but that awareness does not translate to accessibility. for example, the sails program is mentioned often by professors, tas, on-campus health staff, etc., but getting an appointment and getting accommodations approved takes weeks. ",DISSATISFIED
230,Ohio State,"i think the programs and people running it are nice and supportive. even online meetings feel beneficial. however, there should be more ""marketing"" or increase awareness of these resources. they need to normalize it more so that people who need help won't be scared to reach out.",MIXED
231,Dartmouth,"i have received a medication evaluation and several counseling sessions, both of which seem to be going well. ",SATISFIED
232,Arizona State,i do not really know as i have not utilized this service from asu. i do however know that asu does a good job at advertising counseling as an option for students. i have had several friends talk to me about their experiences with asu counseling and that it is lackluster and they redirected them to people outside of the campus. it would be nice if they were trained to be able to deal with all issues.,DISSATISFIED
233,UConn,"i think the on-call talks with social workers to get service or talk about the current struggles i may have at the moment. but, i wish there is more availability like a wider span of times and days. ",MIXED
234,Keene State College,"i have not used any of the college services so i am unsure, but i do see signs around the college about counseling and where to find mental health help.",NEUTRAL
235,Barnard,i think the overall attitude towards prioritizing mental health is good. i have not had much experience with individual services,SATISFIED
236,Haverford College,"the services are good, but it can take a really long time to get an appointment",MIXED
237,Virginia,"counseling services are offered by my college, but only a certain amount of therapy sessions are provided",MIXED
238,University of Alabama at Birmingham,just communication. i am glad that the campus does tell us where and how to review counseling if needed. ,SATISFIED
239,Boston College,"ithink the staff are trying their best, but we need more staff.",MIXED
240,Florida,"uf has a “u matter we care” that works well, but it takes a long time to get in ",MIXED
241,Washington State,the phone hotlines are very beneficial. i think doing more outreach in classes is important ,MIXED
242,University of San Francisco,group therapy is working well. more individual appointments should be allotted to students,MIXED
243,Lehigh,they are good at advertising options but the counselors just listen and don’t really provide solutions ,DISSATISFIED
244,Williams,their mental health center is alright as a whole but it needs more diversity ,MIXED
245,CU Boulder,"it is easy to get in contact with mental health services, but recently when i was going through a little crisis i called and did not get much help and it seemed like they got anxious and didn’t know what to do or say and kind of went super textbook with responding to me like explaining to me how anxiety works and i was like i know i have it and just not really helping. another time freshman year i went to caps for help finding a therapist and they really didn’t give me many options that worked with my insurance so i took matters into my own hands and went through my insurance which was way easier and i found so many options",DISSATISFIED
246,UCLA,general counseling is working well but not everyone reaches out so they need to make bigger emphasis on how and who to reach out snd establish meetings ,MIXED
247,Dartmouth,the activities and services provided by the mental health union run by students and the student wellness center are working great.,SATISFIED
248,University of Arizona,"i haven't really tried to access mental health services, so i wouldn't know.",NEUTRAL
249,UTK,"counselors on campus are lacking. my college needs more counselors and more training i feel for the counselors. i have only one experience with mental health services but my therapist from the student health center was demeaning, not helpful, and very cynical with my situation. it felt like i wasn't being believed.",DISSATISFIED
250,Sewanee-The University of the South,the new physical fitness center greatly helps mental health by providing group workout sessions that allow for exercise to benefit the body and mind while also getting human interaction,SATISFIED
251,Rochester,"counselors on campus are not experienced in the field. they are grad students who are not qualified to address extreme trauma such as sexual assault, domestic violence, and homelessness. i am also not comfortable with group/individual sessions being recorded and this have affected my ability to open up. there needs to be resources for long term therapy and better recommendations for therapists off campus. for context, i recieved no help in finding a therapist off campus. there also needs to be flexible hours on weekends and evenings as students have classes during the day. ",DISSATISFIED
252,Arizona State,"i attempted to get on campus counseling and everyone i spoke with refused to use my preferred name no matter how many times i corrected them. they all said they would write it down and put it in my file, but then use the wrong name the next time. i quit the counseling before my first appointment.",DISSATISFIED
253,Arizona State,i haven’t tried the counselling services at asu but i’ve heard from others that at asu it’s not good ,DISSATISFIED
254,Tufts,"i'm not really sure, having not needed to use said services myself and relying on outside therapy in times of crisis.",NEUTRAL
255,Dartmouth,"wellness services are good, there should be a service where people reach out to students",MIXED
256,Stony Brook University,i think having events focused on wellness including fun ones like dog therapy are useful. the mental health counselors can help sometimes but more resources and consuleors should be available. ,MIXED
257,Arizona State,i personally have not used the mental health facilities on campus because they have a poor reputation ,DISSATISFIED
258,Washington State,the only thing that works well are the handful of mental health professionals who actual care about the students and know what they're doing,SATISFIED
259,Brigham Young University-Provo,"caps and accessibility center are great, but i know people that got stuck on waitlists for ages",MIXED
260,Stony Brook University,"i have only utilized caps as a resource. i believe this has worked well due to how much i love my counselor. however, it took a while to get to her. before this, i was placed with a counselor (who was a man when i asked for it not to be) who asked extremely invasive questions and was very misunderstanding. it warded me off from caps. i’ve also heard other people caps takes way too long to get back to them and doesn’t have enough room.",DISSATISFIED
261,Williams,it's nice that it's pretty easy to schedule appointments but sometimes they aren't available,MIXED
262,Tidewater Community College,i haven't used/not familiar with mental health services provided by the school.,NEUTRAL
263,Santa Rosa Junior College,"the college doesn’t seem to promote it’s mental health facilities, so i don’t know enough about them to say anything good",DISSATISFIED
264,University of Minnesota,i think more accessibility for free therapy sessions would be incredibly helpful. the free online meditation sessions see like a great opportunity and helpful resource. ,MIXED
265,Arizona State,i don’t even know what mental health services are provided by my college,NEUTRAL
266,Brigham Young University-Provo,counseling and psychological services—that's the main program for mental health and any sort of need of the student to use.,SATISFIED
267,Oklahoma,none. they need to have an easier and anonymous process to talk to counselors,DISSATISFIED
268,University of Arizona,campus health is easily accessible and i do believe it is covered by student insurance. there should be a 24/7 location or hotline to contact when needed and the off campus resources need to be expanded. everything just needs to be talked about more frequently as well. ,MIXED
269,Chandler-Gilbert Community College,i like the counseling sessions where you speak with another student who is on campus,SATISFIED
270,Howard University,in-person counseling needs work but i've heard that telecouseling has worked well,MIXED
271,UConn,i have not used any mental health or wellness services from the college.,NEUTRAL
272,Tufts,"i think that some of the services largely run by students themselves (ie ears for peers, a student-run hotline) are very successful, and one of the greatest successes at tufts has been allowing them to exist. the actual resources offered by the university aren’t so successful, based on accounts of peers’ experiences, such that i have largely avoided them and have no firsthand experience.",DISSATISFIED
273,Oklahoma,"if you can get into goddard for therapy, you’re golden. the wait to get into it though is ridiculous.",MIXED
274,Johns Hopkins University,the nutritionist at the student health and wellness center used to provide me with a good support for my poor relationship with food and body image. ,SATISFIED
275,Wake Forest,the counseling center is unable to meet students regularly for counseling. it is only effective for students in crisis.,DISSATISFIED
276,Lansing Community College,i think more attention should be brought to mental health and wellness in general (ex. how to manage stress),DISSATISFIED
277,University of Minnesota,just more coverage and talk about mental health in order to decrease stigmatization.,DISSATISFIED
278,Fresno Pacific University,"i feel that our college does well in getting the news out there when it comes to counseling on campus but i have experienced my counseling getting interrupted and stopped because for whatever reason the person couldn't do it anymore. i had to change to another staff member but at that point i decided not to anymore.
",MIXED
279,Haverford College,the speed with which they respond to requests needs to be improvef,DISSATISFIED
280,Arizona State,"i don’t know, i’m an online student  who hasn’t utilized the services. ",NEUTRAL
281,University of Maryland-College Park,"services are offered, however many of the counselors are temporary and apparently unhelpful",DISSATISFIED
282,University of Arizona,i would say the access to help during the day is beneficial however there needs to be 24 hour help,MIXED
283,Macalester College,i think there should be a way to see the same mental health counselor more consistently,DISSATISFIED
284,UTEP,i believe that the concealing is working very well on my campus however showing students how to use it and why it is important to use it is an aspect that needs attention,MIXED
285,Waubonsee Community College,i think the aspects that need more attention are depression and grieving,DISSATISFIED
286,Emory,"i haven’t implemented most of the mental health resources, but i’d hazard a guess that, like in all other areas, emory could stand to strengthen its communication skills in regards to mental health.",DISSATISFIED
287,UConn,"medical care and pharmacy services are good, but mental health is inaccessible and has bad rep ",DISSATISFIED
288,Stony Brook University,"caps needs to add an option for students to schedule appointments online, not just over phone. i have friends who struggle with phone anxiety that would greatly benefit from counseling services, but cannot make the phone call to set up an appointment. ",DISSATISFIED
289,Arizona State,"i have not utilized the campus health or wellness services because i have my own resources that i consider more private. as an online student, i don't feel i have the same access that on-campus students enjoy.",DISSATISFIED
290,Oregon State University,i have a success counselor from the college who's really good at recommending both on and off campus services when a problem is beyond her expertise. she's very open ,SATISFIED
291,Duke,"there are many good wellness meetings and events. and there is good communication around east to access people to talk to, peers or therapists. however, the on campus therapists cannot do much and they don’t make it clear just how little they can do. e.g. can’t even diagnose adhd",MIXED
292,Barnard,"yes, but they don't advertise their services well enough and the one time i tried using it they ghosted me so now im hesitant to go back",DISSATISFIED
293,UCLA,the school is very open about the resources for counseling that are available.,SATISFIED
294,University of Illinois at Urbana-Champaign,"campus needs more people to provide more long term services. if you want individual attention, you only get it for a semester, so it would work better if there were more staff.",DISSATISFIED
295,Haverford College,i think the main counseling service is helpful when you are able to get an appointment. i was on the waitlist for over a month and i know many other students have been waiting as well. i have been referred to a psychiatrist and there's a waiting list for that too. mental health is taken very seriously here but there are just not enough counselors for all the students. so there needs to be somewhere for someone to go when they are on the waiting list would be helpful. even like a peer counseling service would be great. my high school had one and people used that often.,DISSATISFIED
296,Williams,"as mentioned, i've not taken much of my opportunities to use the wellness services on campus, but from what i've heard an expansion of one-on-one counseling might be useful.",DISSATISFIED
297,UC Riverside,"mental health and wellness programs based in a college should be more practical. students need help finishing their degrees, that's the biggest stressor from outside and inside their lives.",DISSATISFIED
298,UB,"i think they do work well, i just wish there wasn't a limit on how many therapy appointments you can get in a semester",MIXED
299,Ohio State,student life disability services and counseling and consultation services have been really supportive and done well in helping those in need of mental health and wellness services. i think campus needs more available psychiatrists and group counseling to help those that need medication and benefit from therapy in small groups. ,MIXED
300,UT Austin,"cmhc is pretty good, but it seems confusing to a student who’s never used it.",MIXED
301,University of Delaware,my roommate uses the free therapy here and says it works well. i personally have not used many resources provided by the university in terms of mental health. ,SATISFIED
302,Stanford,the wellness counseling is spectacular but please give them a raise and expand the staff.  i had to wait a month to get help sometimes.,DISSATISFIED
303,U of Toledo,i think my actual success coach has been helping. but the resources or knowledge of them need to be talked about more,MIXED
304,Texas State University,"my college has counseling, support groups, psychiatry. i have been to counseling and psychiatry at my college. my psychiatrist was amazing but they recently no longer take my insurance. the counseling was not something i would recommend to others. it is limited to short term surface level issues and nothing else. i was referred to go off campus but not given any resources. ",DISSATISFIED
305,Arizona State,i don’t know as i’ve never used any of the wellness services provided.,NEUTRAL
306,UC Davis,counseling services work well for those who are able to get appointments.,MIXED
307,Texas A&M,"not sure, i haven’t sought any resources from the university in this regard. ",NEUTRAL
308,Ohio State,can easily schedule an appointment but need to wait a month for it.,MIXED
309,Arizona State,"telehealth is easily accessible. but i hope there’s more information on mental health and how to handle it whether it would be you or your friends. also, more information on how to get therapy.",DISSATISFIED
310,Arizona State,"i haven't really accessed the mental health/wellness services because the only ones i really know about are counseling. that costs money and i can already hardly afford college as is, so i never sought it out. but in terms of what may need more attention, i feel that students could benefit from boosting their self-worth/self-respect. i'm not sure what could be implemented to do that though.",DISSATISFIED
311,University of Arizona,"the quality of the services have been well but there needs to be more specialists available, especially in the resource centers on campus.",MIXED
312,Arizona State,i do not currently use mental health services provided by my college. maybe if i heard more about it i would. ,DISSATISFIED
313,Tufts,it’s good that we have psychologists but we need more staff with diverse identities and who can diagnose mental health conditions.,DISSATISFIED
314,Colorado State,i am not sure as i have not used the mental health services offered at my school,NEUTRAL
315,Stony Brook University,caps can be an excellent resource to use but experiences can vary from person to person,NEUTRAL
316,Stanford,not very much. have heard from many people that the caps therapists are not helpful at all,DISSATISFIED
317,Columbia,more attention needs to be paid to the connection between disabilities office and mental health,DISSATISFIED
318,Arizona State,i feel like the ability to talk to a counselor through the campus whenever you need it is a good resource. i wish that there was a psychiatric professional available on campus.,MIXED
319,Arizona State,in my opinions i don’t think any of the asu offered wellness services work. they are never really able to help students. i think the entire department needs to be reevaluated and help.,DISSATISFIED
320,UCLA,i think that the mental health services available are enough for me ,SATISFIED
321,Harvard,peer counseling services are nice to have. we need more access to therapy.,MIXED
322,Lake Area Technical Institute,we have a lot of focus toward mental health related to school stress but i feel that more focus should be added to general life stress.,MIXED
323,UC Berkeley,"i like the service of in-person counseling at the tang center, but i wish i was able to get more frequent visits rather than every month",MIXED
324,Ohio State,provided counseling but can only go once a month for a maximum of 6 months really sucks for people that need more help ,DISSATISFIED
325,Temple,"i haven't utilized the mental health services but i think that we should have more indirect services that support mental health. it can be less intimidating for students to go out to a mental health program that's beneficial to them than seeking a guidance counselor directly from my own personal experience. if there are resources, maybe they need a way to promote these better? a suggestion i have is to reach out to advisors of each college and ask for them to send out emails/announcements about these events.",DISSATISFIED
326,Rutgers,"one-on-one therapy talks 

aspects of mental health and wellness that need more attention would probably be more of a psychiatrist on campus that can diagnose if someone has any sort of disorder. ",MIXED
327,Texas State University,"to be totally honest, i’ve heard nothing but negative things about the professionalism and effectiveness of ut mental health services.",DISSATISFIED
328,UConn,"i have not yet taken advantage of any mental health or wellness services provided by my college. however, based on the things that i've heard from others, i would say that these services should be expanded. for example, more counselors and a more helpful hotline should be made available to students.",DISSATISFIED
329,Virginia,"the online services seem to be helpful from what i’ve heard, but it might be good to have a more diverse staff for it. ",MIXED
330,Emory,i have heard telehealth has been good because it’s easy to get an appointment quickly. ,SATISFIED
331,Florida,"i think the short-term sessions are great, but the fact that it can take months to get a consultation before starting to talk to someone is ridiculous. a person’s mental state could severely deteriorate before they’re able to see someone on campus.",DISSATISFIED
332,Youngstown State University,i do not know how the services function as i have never required them.,NEUTRAL
333,Emory,timely md was a great addition. just all psychiatry as a whole. students should be able to get in to see someone immediately. mental health isn't something that can wait a couple of months. ,MIXED
334,University of Arizona,"i don’t know too much about campus mental health resources, so i can’t say. i do think more effort needs to be put into promoting campus wellness resources.",DISSATISFIED
335,Arizona State,not sure i have not used the services because i honestly didn't know about them.,NEUTRAL
336,Virginia,they have a virtual counseling service which i think works well for people with anxiety about going into a physical counseling space. ,SATISFIED
337,Oregon,"we have a team of therapists and i believe a few psychiatrists, who provide therapy and can prescribe medication. however, they're just unprepared to deal with so many students.",MIXED
338,University of Iowa,"i have been on the waitlist for seeing a counselor at the lgbtq clinic for over 3 months now. i understand this is a busy time for them, but this is ridiculous, they could at least recommend somewhere else to go or somebody to see on campus.",DISSATISFIED
339,Ohio State,"i gave up on my college's mental health services long ago. i reached out to them expressing that i was suicidal, and i was put on a four month long waiting list.",DISSATISFIED
340,UNC,"caps is incredibly underfunded and overworks/underpays all its grad student staff, which makes caps a very unhelpful and unfriendly resource even though it's pushed all then time.",DISSATISFIED
341,George C Wallace Community College-Dothan,more one on one patience with students and more counselors and tutors to help,DISSATISFIED
342,Stony Brook University,"while i have not used the mental health services on campus, i am aware that they have a 24 hour hotline which i appreciate. however, i have heard that the counselling is not particularly useful",MIXED
343,Arizona State,i feel like the teachers need more training and understanding of how different mental illnesses affect school work. i have had many teachers be patient with me but also a handful who have completely blown me off and wouldn’t help me in any way. ,DISSATISFIED
344,Fordham University,i think that fordham could definitely use more mental health professionals so that there isn’t such a long wait to see someone.,DISSATISFIED
345,Arizona State,"availability & advertisement of services is working well. off campus-resources needs more attention 
",MIXED
346,Brigham Young University-Provo,it is good that all students have access to counseling but the waitlist is insane. ,MIXED
347,Oregon,"i feel it is most important to be able to have a hotline for students to have open 24/7, run by students for students",DISSATISFIED
348,UC Davis,telehealth is working well but we need more support on campus for students who want to  talk to someone in person,MIXED
349,Binghamton,clubs prioritizing mental health is working well. bringing awareness to professional resources needs more attention.,MIXED
350,Rowan,"i am not sure, but students have often criticized rowan's mental health assistance",DISSATISFIED
351,Carnegie Mellon,"caps
more attention to make services more appealing for students to attend",DISSATISFIED
352,Wellesley,"what was the worst for me was the fact that the mental health resources of the school aren't available for study abroad students, which i get is due to licensing but i would have appreciated more resources being available during study abroad programs.",DISSATISFIED
353,Tufts,i think it has ok access and the service seems fine. my main issue is how hard it is to schedule sometimes. ,MIXED
354,Williams,"iws is great, but mental health needs to be more student-focused. get some peer groups going.",DISSATISFIED
355,UMich,"none, psychologist and therapist appointments are months out and if you go to them saying you're in an emergency you're locked up in the pysch ward for 72 hours with no beds, food, or phone access to call for help",DISSATISFIED
356,University of Arizona,"i think th e telecounseling has worked very well, especially with covid",SATISFIED
357,UC Davis,i believe their student health and wellness program is good and is an outlet for good resources. i believe their online resources such as tele-counseling needs more help. ,MIXED
358,University of Delaware,i have never struggled with mental health issues. i do not know what my college needs to do or works well.,NEUTRAL
359,UC Riverside,the well for sexual health supplies. they can add in person mental health services instead of online.,MIXED
360,University of Hawaii at Manoa,i'm not fully aware of all the mental health or wellness services provided by the school so i think it needs to be promoted more and posted throughout campus.,DISSATISFIED
361,Kalamazoo College,the counseling center of kalamazoo college is known amongst the students to be generally very bad at the services it provides,DISSATISFIED
362,Georgia,"i think the college needs to focus on getting more therapists and people to help students. i tried signing up for mental health services and was put on a waitlist, which didn’t help me any",DISSATISFIED
363,UMich,"caps is a nice resource to have, but it needs more attention and expansion",MIXED
364,Utah State University,"the people who check in when given a tip are fantastic, it's the follow through and long-term resources that need work. ",MIXED
365,Rowan,there needs to be more opportunity for individual therapy before people are in crisis.  not enough preventative measures.,DISSATISFIED
366,Ohio State,"the fact that mental health services are offered is a step in the right direction, but it does not seem to be meeting the sheer demand of students who require assistance. counselling needs to be expanded, in addition to being made more accessible and personalised for students, or else its efficacy, in my opinion, will be severely limited.",DISSATISFIED
367,New York University,"i never participated in the wellness services provided by my college; however, my college does offer 24-hour mental health counseling through phone calls (and a mobile app i believe). ",NEUTRAL
368,Utah State University,caps has been able to help me with counseling services and finding what is best for me right now.,SATISFIED
369,Rowan,"i enjoy the pet therapy program and i believe that works well, i believe the campus needs more long term therapy options and an in office psychiatrist.",MIXED
370,Arizona State,being able to visit a counselor at most times is really helpful in this aspect. ,SATISFIED
371,University of Washington,"there are some counselors available which is good, but not nearly enough.",MIXED
372,Arizona State,the mental health service that is helping students is the coaches that we get. it helps students to always have someone to talk.,SATISFIED
373,Macomb Community College,i feel that the ability to speak with counselors on and off campus is working really well for students.,SATISFIED
374,Stony Brook University,i haven't been to any of the mental health and wellness services here,NEUTRAL
375,Johns Hopkins University,"not nearly enough counselors or therapists, and they often just try to refer people outside of the counseling center. they make it pretty difficult to get signed up in the first place. they only want to do short term counseling before outsourcing people. i know a lot of people who just didn't like the staff as well and said they didn't take them super seriously. also they only want to meet every two weeks. 

at least they provide it for free. some people really like their counselors as well. i like mine. i'm lucky i only need some minimal talking and that i'm graduating otherwise i'd have been sent away as well which is such a mission to set up and probably expensive or a lot of work to set up with insurance. ",DISSATISFIED
376,University of Rhode Island,i really have not pursued any of these devices so i’m not sure but i’ve heard it can be difficult to get an appontment,DISSATISFIED
377,UC Davis,i don’t really know about any of them but i think some are conducted by graduate students,NEUTRAL
378,Mizzou,"they do a decent job of advertising what ""is available"". unfortunately, when i've tried to utilize services they were unable to support me due to lack of staff and resources, etc.",DISSATISFIED
379,UC Berkeley, none. never able to make an appointment with the psychiatrist or psychologist of the student health center,DISSATISFIED
380,Des Moines Area Community College,there is a counselor and an online quiz thing. i'm an online student,NEUTRAL
381,Stony Brook University,"the student support team at my college has been very helpful in supporting my mental health.

i think more attention should be paid on the negative impact of stress from school has on students' mental health.",MIXED
382,Ohio State,"i have limited experience with mental health services at osu. i would like to reach out for help, and talk to someone. ",NEUTRAL
383,University of Central Florida,"i love the space on the main campus, it's so welcoming and safe, it doesn't even feel like i'm on campus. i also like how many, not all, of the counselors, are licensed professionals, which gives me peace of mind. i think most students agree there needs to be more counselors or if not a good relationship with a network of counselors. once you are in the system it's not bad to get an appointment, but the initial appointment is hard to get.",MIXED
384,UC Merced,they have a center called caps that you can make appointments with but they are always filled up. that is pretty much all they have so i'd wish they had more options or more space available,DISSATISFIED
385,Arizona State,i believe that asu counseling service is working well at helping students with their mental health ,SATISFIED
386,Harvard,"i am aware that we have mental health resources, but i am not familiar with how to use them nor what repercussions they may have.",NEUTRAL
387,Arizona State,i am unaware of the services my college has at the moment as far as this goes,NEUTRAL
388,Iowa Central Community College,the mental health aspect needs more attention because us students still struggle even though we are continuing are education.,DISSATISFIED
389,UC Berkeley,"good at detailing metal health resources through email, need more attention on stress from intra-course workloads",MIXED
390,Mineral Area College,i think we have had a really good counselor who is always willing to talk to students who are struggling ,SATISFIED
391,Pepperdine University,the free counseling/therapy sessions that my college provides i hear have been working well for my friends.,SATISFIED
392,Washington State,"none, i have tried again and again to make an appointment with no luck.",DISSATISFIED
393,UNC,"wellness information services and events are working well, however the therapists available and staffing need more funding.",MIXED
394,Emory,the consistent emails let me know where i can reach out to if i needed help mentally. ,SATISFIED
395,Arizona State,"an aspect that needs more attention is the understaffing of cs on campus, i know students that have gone for initial consultations only to be directed elsewhere after and they didn’t continue with that for one reason or another ",DISSATISFIED
396,South Carolina,"there are options, and they are fairly knowledgeable.  however, they are too focused on crisis intervention and not focused enough on providing services for those who are not in crisis but still struggle a lot with their mental health.",MIXED
397,Bates College,need more staff for the number of students using them. some of the counselors are not as helpful which deters students from using it,DISSATISFIED
398,Arizona State,"i don’t know what services are working well because i personally am unaware of the ones we do have. i think aspects that need more attention are those for students who are first generation. ideas like imposter syndrome play a huge factor. you feel you don’t belong, no one relates, you’re unsure what job you’ll get outside of job, if any at all. i think there should also be more advising on helping students create plans for after college. ",DISSATISFIED
399,Ohio State,i have not used any services because the tele services were always completely full when i needed them.,DISSATISFIED
400,Virginia,caps is a thing but it doesn’t work well. just about the only thing we have.,DISSATISFIED
401,Oakton Community College,"i am not currently aware of what oakton offers regarding mental health wellness but i would really appreciate online help or easier classes directed to those who
struggle.",NEUTRAL
402,University of Massachusetts-Lowell,sometimes it is hard for students who are struggling to reach out for help,SKIP
403,University of Alaska,i think it's a good thing that people with mental health issues can get special support.  i think it would be an improvement if people were given more opportunities to do activities with others that tend to improve wellness.,MIXED
404,De Anza College,"i feel like they should make aware of what type of help is there from the college itself, and not having to search around.",DISSATISFIED
405,UMich,i heard it is impossible to get an appointment at the on campus services ,DISSATISFIED
406,University of South Florida-Main Campus,the process to get an appt at the counseling center needs work ,DISSATISFIED
407,Texas A&M,i don’t know much about the college’s resources so maybe more advertising.,DISSATISFIED
408,University of Wisconsin-Madison,"i have never explicitly used the services given by the college, although looking back there were points where i probably should've. i think more communication and general support from the university would go a long way, since there are probably others who have been in situations like mine. if i knew what services were available and how to receive them it would be easier to get them rather than having to do the research myself when i'm not sure what kind of help i want.",DISSATISFIED
409,LSU,"i haven’t gone through lsu for mental health services, but my friend has and they have treated her pretty well. she’s being covered by the lighthouse program and they have been really helpful for her. i can’t afford it, but it’d be nice if some of my fees i pay for school were allocated for mental health services.",MIXED
410,Goshen College,"since the campus is so small, there’s no on-campus health clinic. all of those needs have to be addressed off-campus at a nearby primary care office.",DISSATISFIED
411,University of Massachusetts-Lowell,they provide emails weekly that students can use to direct them towards help,SATISFIED
412,UMich,"there's a 24-hour counseling service, which is useful. there needs to be more attention towards physical and mental health declining as a result of academic stresses.",MIXED
413,UB,it needs to be easier to make an appointment and to to find ways for students to get regular therapy. ,DISSATISFIED
414,Boston College,"i really enjoyed counseling when i went. however, when they told me i couldn’t do long term counseling, i never heard from them again and felt left alone. ",DISSATISFIED
415,Notre Dame,"i think having counseling services available is working well, but diversity of counselors could use more development",MIXED
416,Southern Methodist University,i have a few friends who use smu's sports therapists and like them. i think student-athletes need more attention (especially the rowing team).,MIXED
417,Arizona State,"i haven’t really had the chance to use asus mental health services, and i don’t even know how to begin. ",NEUTRAL
418,Brigham Young University-Idaho,there is a counseling center but it is always booked months out and by the time you get to a meeting i’m not sure your concern would be needed to be addressed anymore. ,DISSATISFIED
419,Cornell College,"i would consider our mental health facilities to be significantly lacking, although we have counselors they are just that, they don’t meet a lot of the requirements that college students need to win they are struggling severely with multiple mental health issues. one of the biggest things with that is that we only have three free visits a year and that is inadequate to any mental health needs",DISSATISFIED
420,Haverford College,"none, they say they offer them but have no space and dont answer",DISSATISFIED
421,Lewis & Clark College,counseling. i have appreciated using therapy on campus and i know many others feel the same way.,SATISFIED
422,Texas A&M,i think the free mental health counselor is a really good thing for campus ,SATISFIED
423,New York University,"we have a 24-hour crisis hotline, which is a great resource with very little wait time (that i've experienced). however, probably about half the counselors employed at the student health center seem to be qualified for their jobs. many seem to want you out of the office as quickly as possible rather than wanting to listen and help, and others are extremely oblivious to the realities of mental illness (i.e. a counselor telling me to ""just try harder"" to fall asleep when anxiety was keeping me up at night). ",MIXED
424,Cornell,"the university's approach to mental health has become a triage, turning permanent counseling services into temporary ones to aim to reduce suicides and severe mental health issues, at the cost of cutting long-term care to many students who relied on it. it's a backwards approach; the university needs to funnel a massive increase in funding to its on-campus counseling and restore its old system, as there are many students who feel they have nowhere to go anymore for mental health assistance. ",DISSATISFIED
425,UT Dallas,"having six sessions for free is great- they're really triage though, and getting told straight up at your intake appointment that your issues are above their expertise level is pretty disheartening to say the least, lol. that's the game with college campus services i guess.",MIXED
426,UConn,having people to talk to at all is good but need more people,MIXED
427,Amherst,"i think the college has done a great job of diversifying the type of mental health help students can receive (ie. group counseling, affinity group focused counseling, etc.). i also think that there could be more attention given to increasing the number of counselors available to students.",MIXED
428,Johns Hopkins University,"nothing really is working well. the counseling center needs more attention, as it turns people away, is generally useless, and is booked months in advance.",DISSATISFIED
429,Rowan,"i like the therapy dogs at the wellness center, and the staff that they have there are nice. i think it just needs to be expanded to accommodate more students. ",MIXED
430,Kalamazoo College,"i think k college is good at promoting the counseling services, but i do think they need to hire more diverse counselors and have a more accessible way to fill out the forms so students don't have another barrier that stops them from accessing counseling. ",DISSATISFIED
431,University of Arizona,"i think that there are a large variety of mental health treatment options to help students who are experiencing a wide variety of situations. however, i think it is not as accessible as it could be (price wise).",MIXED
432,Monroe Community College,we have a counselor and my coach has bi weekly meetings for mental health. im not sure what else other than a nurse on campus who could like prescribe medication would help.,MIXED
433,Ithaca College,i do not really use any mental health services. it might be because there aren’t that many offers; so overall more offers for mental health services would be beneficial ,DISSATISFIED
434,Wellesley,"i don't really feel like too much is going well?? i have an off-campus therapist who i've been seeing since before i started college, but prior to the pandemic found myself looking for a closer therapist; wellesley's services weren't helpful, and often bureaucratic. my psychiatrist who i saw all through high school passed during my sophomore year of college (fall 2020), leaving me without prescription access. wellesley provided me a list of referrals, but i ended up having to contact my pcp to get a prescription to tide me over so that i would not be withdrawing from my medication. overall..... i really think wellesley needs to streamline the process of getting access to regular mental healthcare",DISSATISFIED
435,Arizona State,i appreciate the counseling services and how they are very helpful. i think having a psychiatrist on campus would help even more. ,MIXED
436,Amarillo College,"i do not currently use the mental health resources offered, but i have contemplated it several times. ",NEUTRAL
437,New York University,i haven’t seen anything that works well. it’s often hard to get an appointment with mental health services and counselors are inconsistent and change often. ,DISSATISFIED
438,Stony Brook University,"most people don’t receive any counseling or are referred, yet still pay the constant mandatory counseling fees",DISSATISFIED
