,School,Comment
137,Florida,"i think the short-term sessions are great, but the fact that it can take months to get a consultation before starting to talk to someone is ridiculous. a person’s mental state could severely deteriorate before they’re able to see someone on campus."
138,Arizona State,"there is a lot of awareness about resources, but that awareness does not translate to accessibility. for example, the sails program is mentioned often by professors, tas, on-campus health staff, etc., but getting an appointment and getting accommodations approved takes weeks. "
139,Stony Brook University,i like the idea of caps but it seems very small compared to the need on a large campus. i have looked at it before but not sure if they had someone who could help for what i am looking for. 
140,University of Washington,"i don't really use the mental health or wellness services from my college, but i used the call system once and it didn't help very much since they weren't connected with the school. they weren't able to talk to professors or anything"
141,Haverford College,i don't really use any of the services on campus but i've heard from friends that they just aren't very good at what they do? i'm also aware that it's really hard to get an appointment and get a therapist on campus
142,WashU,the habif mental health staff need more attention. there is such little staff that appointments are rare. uncle joes is a good resource but students shouldn’t have to rely on peers due to inaccessibility to professional mental health services on campus.
143,Arizona State,"i haven't went to mental-health counseling because i take care of my mental health alone majority of the time, but i would say depression and anxiety are some major aspects of mental health that needs more attention that it already has."
144,Arizona State,i feel that the in person counseling services are very accessible. i feel like there is very little awareness of the limitations of the campus counseling and what steps a student should take to get help beyond steps 1 or 2.
145,Arizona State,i would say currently they have done a great job in making it known services are available and how to use said services. i would say there should be a way for them to focus past issues of anxiety and depression.
146,Arizona State,"i think that having counseling students intern as counselors is helpful because there is less intimidation when talking to them, but on the other side of that i feel as thought they may not be entirely qualified to help some people"
147,Ohio State,"i like the counseling that is offered but wish there was a way (covered by insurance) to get my medications. it’s so hard to get a psychiatrist appointment right now, and even harder to find ones that are covered. "
148,University of Alaska,i think it's a good thing that people with mental health issues can get special support.  i think it would be an improvement if people were given more opportunities to do activities with others that tend to improve wellness.
149,Arizona State,"an aspect that needs more attention is the understaffing of cs on campus, i know students that have gone for initial consultations only to be directed elsewhere after and they didn’t continue with that for one reason or another "
150,Washington Adventist University,"telehealth has helped me alot with my mental health issues. however, i wish we had in-person counselors on campus because it is not the same talking to someone over a zoom call or on the phone as in person. "
151,UMich,"none, psychologist and therapist appointments are months out and if you go to them saying you're in an emergency you're locked up in the pysch ward for 72 hours with no beds, food, or phone access to call for help"
152,Youngstown State University,"i'm not to sure as i have not gone for help, but from what i have heard, they are quick to diagnose kids with adhd and give them medication. some kids' problems are more deeply rooted and greater than adhd"
153,UIC,"the wellness center and the commuter center are great resources and communicate well through emails. i enjoy the events they organize.

i would like there to be more information about where and how to get in contact with a wellness counseler."
154,South Carolina,"there are options, and they are fairly knowledgeable.  however, they are too focused on crisis intervention and not focused enough on providing services for those who are not in crisis but still struggle a lot with their mental health."
155,UPenn,"the counselors and psychiatrists work very well when you can get an appointment. however, you generally have to wait weeks or months to get a first appointment and the physical location of the services is so far away from campus."
156,College of the Sequoias,"i have not used any programs, but i have noticed their availability and the schools encouragement to utilize those services. i think they have done incredibly well, but making private, over the phone resources more well known would be helpful."
157,UConn,"i think the on-call talks with social workers to get service or talk about the current struggles i may have at the moment. but, i wish there is more availability like a wider span of times and days. "
158,UMich,the counseling center is just burdened with the amount of students that need help. it's simply the volume of students that need help. the services aren't even that bad if they were just able to reach more people. 
159,Colorado School of Mines,"i can’t really say anything works well. i called our counseling center in spring 2021 and referred to an off campus online therapy service, had my appointments that i waited months for canceled twice. it was pretty disheartening "
160,Oberlin,"current counseling services are lacking. would much prefer off campus counseling, also gives students a chance to get off campus, which in of itself feels like a suffocating prison surrounded by crime if you leave to the east "
161,Arizona State,"from what i know, the only type of mental support that exists on my campus is the counseling services we can go to but that's about it. definitely need to provide a variety of options to seek mental health"
162,MIT,expertise - i felt like i was talking to myself and solving my problems because my therapist didn’t give a professional opinion at a time when i thought i had many things wrong with me and needed clarity. 
163,University of Minnesota,"i tried reaching out to campus mental health service online last semester, which was when i needed the most help but didnt get reply till now. so now i just tried to not rely on them and help myself"
164,George Mason University,"overall everyone was very understanding and were patient with me. however, the department only allows calls to set appointments which is not easy for those with mental health issues/concerns. having an email system would be much more inviting. "
165,Alabama,i understand counseling is a profession but we pay so much in tuition and counseling on campus still costs money. many don’t seek help because they cannot afford it due to the insane tuition prices they’re already paying. 
166,Barnard,"i think it would be more helpful to increase the amount of psychiatric services provided. i really appreciated that they were available, but getting access to them was very challenging, and they weren't a long-term solution, which was frustrating."
167,EKU,"whenever i’ve tried making an appointment with my colleges therapists, they never really have time slots available when i’m available, so i think it might help if they had more therapists available during more times throughout the day "
168,Louisville,none of them. we only have one counseling office and it was so backed up that it took me a month to even get a triage/meeting and they simply forgot to send me the email for the triage. 
169,Arizona State,"ultimately, i believe that my university is very well educated on and equipped for offering diverse and more than sufficient mental health resources, and it now comes down to student choice and students approaching and accepting the proffered help."
170,UMass Amherst,there are not enough counselors and i have heard so many stories (including my own experience) where friends have wanted to go to counseling services and they are told they have to wait months to book an appointment
171,University of Arizona,"i think that there are a large variety of mental health treatment options to help students who are experiencing a wide variety of situations. however, i think it is not as accessible as it could be (price wise)."
172,University of Wisconsin-Madison,"my school has a 24 hour crisis line and counseling services available to all students. however, the amount of appointments that a student can have and the wait time to get an appointment is a serious barrier. "
173,Virginia,"many students have complained that the therapists and counseling services offered through the university are unhelpful at best. therapists are described as apathetic and dismissive of issues, while the pace of referrals and appointments is extremely sluggish. "
174,Arizona State,"i have never used counseling services at asu; however, i have highly considered giving it a try. i would like more attention on being physically ""at peace"" (i.e. coming to terms with how you look, accepting your body)."
175,Salt Lake Community College,"i appreciate slcc efforts for inclusion and diversity. despite the fact that we still have a long way to go, i feel like slcc does the best job out of all major universities/colleges in the whole state. "
176,Three Rivers College,there is one counselor that the college pays for (until fall semester this year) named ryan walker and he's been great. i just feel it's not a good idea to have 1 person for thousands of students. 
177,UC Berkeley,the undocumented student program runs individual and group sessions which supplements the times when you don't have an individual appointment. i think more staff should be hired so that they can reach more students on time. 
178,Stony Brook University,"no, they just redirect me to my in network resources, but they are generally very racist places to be, so very unhelpful. i ended up going through my primary physician after months of wasting time with sbu."
179,Arizona State,"the website and app seems helpful, but a little confusing! i tried to find a counselor, but then i got too busy and it didn’t work out, so i don’t have too much experience with it! "
180,UTK,"there are mental health resources widely available, which is extremely beneficial. however, there is such a long waitlist for counseling sessions, so my fear is that people who need urgent help are not going to receive it."
181,Arizona State,"i have not utilized the campus health or wellness services because i have my own resources that i consider more private. as an online student, i don't feel i have the same access that on-campus students enjoy."
182,UTEP,i feel that every aspect of that utep  has on mental health is going well. it would be nice to see more advertisements of our mental health resources on and off campus that are offered. 
183,University of Kansas,"i felt like the school just kinda pushed my mental health aside when i met with a counselor. they just referred me to a therapy group in the town, but i couldn’t go there due to insurance"
184,Miami University,only time i've had experience with these services was when my professor let the school know i was going though a difficult time so you guys reached out. that was nice because it was prompt and helpful
185,UC Merced,they have a center called caps that you can make appointments with but they are always filled up. that is pretty much all they have so i'd wish they had more options or more space available
186,Tufts,i think the mental health department is good but just lacking funding and resources. it’s hard to schedule staff for counseling appointments and there also isn’t much importance placed on mental health in comparison to schoolwork.
187,Northern Arizona University,"they don't have enough counselors and they also don't really do a lot of specified work, but a lot of places off campus are wildly expensive, so there's limited options to get help for serious diagnoses/esas/etc."
188,UB,"we need more accessibility to on-campus counseling services. what ub has right now is not sufficient, especially when they don't really help and are hard to reach. the limits on counseling appointments is not helpful either."
189,Haverford College,"on campus free therapy, makes it affordable and an option for everyone on campus. we need more therapists, though, because wait times are extremely long. also, a dedicated health and wellness building would be beneficial. "
190,University of Washington,i have looked at group counseling but they are still remote. i am tired of remote and don't want it simple because it's remote. if it were in person i would definitely go to group therapy.
191,George Mason University,"the help seems alright, i personally don’t know how to fix it. but i think for most students it’s scary going in for the first time so somehow making it more normalized or welcoming could help"
192,Utah,theres a lot of resources which is nice but the biggest issue is a high turn over rate of college counselors which lessens wanting to seek help on campus and professors not being lenient/understand nag 
193,UIC,"i feel that at first the group therapy was helpful as a stress relief, but eventually it became an anxiety of having to participate and eventually feeling uncomfortable in that environment sharing my personal issues. "
194,Ohio State,"students are advocating for themselves and their peers and the university addresses the fact that they need more mental health resources. at this point, we just need them to take action and do something about it."
195,Arizona State,"i haven’t been provided with very many services or supports, but it would be nice to have a mediator system to be able to mediate mental health discussions with resistant professors to be heard better"
196,Georgia,"i think the college needs to focus on getting more therapists and people to help students. i tried signing up for mental health services and was put on a waitlist, which didn’t help me any"
197,University of Arizona,"the services are intimidating to even learn about online, and expensive. it's futile to have mental health services if they aren't free; financial struggles are some of the biggest stressors leading to mental health crises....."
198,New York University,i know we have the wellness center but i have not used it. from my friends that have i hear staffing is the biggest issue since there are so many students and not enough counselors.
199,Emory,timely md was a great addition. just all psychiatry as a whole. students should be able to get in to see someone immediately. mental health isn't something that can wait a couple of months. 
200,Rowan,"the mental health services in the wellness center are really good, as there are many different options for treatment. however, the college sometimes has a difficult time communicating these resources with the student population "
201,Arizona State,"i know nothing of the mental health services offered on campus. 

even if i did, seeking them out would require me to pay even more for parking which already is a large financial stressor. "
202,Stony Brook University,"while i have not used the mental health services on campus, i am aware that they have a 24 hour hotline which i appreciate. however, i have heard that the counselling is not particularly useful"
203,Stony Brook University,i haven’t used any of stony mental health resources so i’m not sure but based on other peoples experiences i believe they should have a 24 hour service with people who are more empathetic 
204,Stony Brook University,"the student support team at my college has been very helpful in supporting my mental health.

i think more attention should be paid on the negative impact of stress from school has on students' mental health."
205,Virginia,"the counselor i saw was very kind and helpful in connecting me to resources. however, emergency services are lacking and therapy visits can only do so much for the overall wellness of the student community."
206,Davidson College," mainly one counselor, jasmine, has been helpful. need more services/talks about nutrition/body image for students of color and athletes of color because elizabeth allred is not a safe space to discuss either of those."
207,University of Nebraska-Lincoln,"the college provides very limited mental health support. it is there for small issues, like friendship or homesickness. it is not for deep rooted issues or anything further than a little anxiety and depression"
208,New York University,"what’s working wel is they’re heavily connected with external sources. however, i do think they need to hire more psychiatrists so that people can quickly go through real treatment and be prescribed medication. "
209,Sewanee-The University of the South,nothing works as well as it should.  we need more counselors and psychologists who will help and not collect an hourly coin as my friends share their issues with no guidance or resolve.
210,University of Arizona,"caps is working particularly well, but only for short-term issues. i wish there was a better option for long-term therapy with less focus on doing well academically and a bigger focus on holistic outlooks"
211,University of Washington,"maybe something surrounding family. i know from experience that talking about your mental health and emotions isn’t something families to normally and it makes it extremely hard to open up, even to friends "
212,UB,"i hear none, and the major i'm in(computer science) is not taking care of the feeling of the students at least in my perspective. there is just a due day over another due day."
213,UNC,one on one counseling was working well. however this support was short term. i did it for a semester but there is not many options for support for me on campus after that semester.
214,University of California-Santa Barbara,"i think that there needs to be greater accessibility to on campus counseling and therapy. if it was easier to get an appointment, or talk to someone over the phone, it would be easier"
215,Youngstown State University,my experience with the colleges mental health services was perfect i can't really suggest anything to improve it beyond what i experienced. however that does not mean there is not room for improvement somewhere.
216,Arizona State,"telehealth is easily accessible. but i hope there’s more information on mental health and how to handle it whether it would be you or your friends. also, more information on how to get therapy."
217,Arizona State,i think there needs to be more options for online students. i get all the info about on campus options but i’m not ever on campus - i’m an out of state student. 
218,UMass Amherst,i think the university does a good job advertising different support groups but i think that there should be more access to counselors. i have heard that it is difficult to find an appointment
219,Oregon,i think virtual counseling/telecounseling through zoom has been extremely helpful because more students are willing to seek help when they don’t have to meet the counselor in person due to anxiety and other reasons.
220,Moody Bible Institute,the mts counseling center is flexible with their pricing which i really appreciate. i think that there needs to be more map instructions/how to get to counseling's physical locations in the counseling posters. 
221,Brigham Young University-Idaho,there is a counseling center but it is always booked months out and by the time you get to a meeting i’m not sure your concern would be needed to be addressed anymore. 
222,Stanford,"haven't used it to know--but from my impression limited attention is given to men/male issues due to sexism, and inability to address issues faced by christians being persecuted (for instance from own family)"
223,Ohio State,"osu’s counseling and consultation services is a complete mess. it is advertised as a therapy option, yet students in crisis aren’t able to get in for months, and the help is near useless"
224,Rutgers,"one-on-one therapy talks 

aspects of mental health and wellness that need more attention would probably be more of a psychiatrist on campus that can diagnose if someone has any sort of disorder. "
225,College of Charleston,"i can't say i've used any services personally, but i know there's always signs and posters for the cougar counseling and the texting line thing that they have, and that seems good. "
226,UIC,"i have not used any of them, but i heard that my classmates really appreciate the services that the college offers. although i do feel that they should advertise these services more. "
227,UC Riverside,yeah i’ll be there at around noon and i just got home and i’ll get back home from church lol i have a lot of stuff going to my house so i’ll 
228,Tufts,"we need so much more, it is impossible to get an appointment in an at all reasonable amount of time, and with mental health, this is a major issue and can be dangerous."
229,Emory,"i haven’t implemented most of the mental health resources, but i’d hazard a guess that, like in all other areas, emory could stand to strengthen its communication skills in regards to mental health."
230,George Mason University,i haven’t used campus services because i get confused about the extent of the services provided. and word of mouth from other students about their poor experiences made me doubt campus services. 
231,Arizona State,in my opinions i don’t think any of the asu offered wellness services work. they are never really able to help students. i think the entire department needs to be reevaluated and help.
232,Wheaton College (1),i would like more on-campus assistance regarding the diagnosis of mental illness or learning disabilities. i'm currently in the process of seeking a diagnosis and i wish there was more support on campus.
233,Western New England University,"i am not sure; i have not used any yet. i believe spreading information about services, specifically counseling services, should get more attention. maybe looking at doing in-person counseling should be looked at."
234,UTEP,i believe that the concealing is working very well on my campus however showing students how to use it and why it is important to use it is an aspect that needs attention
235,Santa Barbara City College,i’m not sure; i’ve sought mental health services outside of school because of concern that struggles i’ve had related to the nursing program would be shared and jeopardize my success in it. 
236,UConn,the cheap sessions offered by grad students supervised by professionals seems like a really good way to give everyone access even if they dont have insurance or dont want their parents to know
237,UMich,"to be honest, they always say there are opportunities, but i've heard plenty of horror stories from both uhs psych and bad experiences at caps that i hesitate to rely on them"
238,Ohio State,"i gave up on my college's mental health services long ago. i reached out to them expressing that i was suicidal, and i was put on a four month long waiting list."
239,Florida International University,i believe the therapists being offered are working well because although i haven’t attended any therapy session i’ve had friends who have and they had positive things to say about it. 
240,University of Illinois at Urbana-Champaign,"campus needs more people to provide more long term services. if you want individual attention, you only get it for a semester, so it would work better if there were more staff."
241,Florida International University,i have not had the opportunity to experience any of my college’s mental health & wellness services but i know that they are well equipped to accommodate students with mental health issues.
242,Arizona State,"i know that many (or all) professors include mental health help information in the course syllabus. however, it is not usually the first place one may think to get the resource information."
243,Barnard,i think the college does a good job of letting people know where they can get certain services but they could work on making those services more accessible and also more approachable
244,Brigham Young University-Provo,i'm not at all aware of what resources are available. it would be great if the university could do more to make students aware of what kind of supports they can find.
245,UConn,what works well is the events they plan every once in a while that bring awareness to mental health. what doesn't work well is the lack of availability of in person counseling.
246,University of Arizona,"i'm not sure since i haven't used these services before. personally, i would spend more attention on personal relationships since that's what has been affected the most throughout the pandemic for me
"
247,Arizona State,i feel like the ability to talk to a counselor through the campus whenever you need it is a good resource. i wish that there was a psychiatric professional available on campus.
248,University of Arizona,"caps, it is very difficult as a student and having professors seem to disregard mental health. perhaps flagging when a good student is failing, or isn’t showing up to classes. helping them?"
249,Ole Miss,the presentation of possible services such as telehealth and the ease of use for mental health services is good. i think mental health check ups could be implemented through the semester more.
250,UCLA,i think the triage needs more attention. it seems excessive to wait at least 45 minutes to get help. but their referral plan has excellent rates if you have school insurance. 
251,Middlesex Community College (1),"i’m not sure, but we have emails being sent out but it’s hard for us to see them due to us needing to log in and look nf or them personally "
252,Monroe Community College,we have a counselor and my coach has bi weekly meetings for mental health. im not sure what else other than a nurse on campus who could like prescribe medication would help.
253,Marian University (1),i only know of one mental health employee but do not know how to reach them or what to do. the therapy they provide is also catholic based which i am not
254,Williams,"there are not enough therapists, and campus culture as a whole is pretty toxic when it comes to mental health. the response from the administration is not consistent across professors "
255,UC Davis,"the resources are top notch when you are able to access them, although unfortunately it is so difficult to even try to get an appointment because they are all booked constantly!!!!!!!!!!"
256,UMass Amherst,i haven't used any mental health services on campus so i can't really answer that question. i think one thing that needs to be focused on more is just overall loneliness.
257,Rowan,"i like the therapy dogs at the wellness center, and the staff that they have there are nice. i think it just needs to be expanded to accommodate more students. "
258,University of North Carolina at Charlotte,the school's caps program overall is ok. sessions are very limited so right when i felt i was finally making progress i hit the limit on my sessions for the semester.
259,George Mason University,i think college does a great job with weekly emails and information spread throughout the campus through various announcements and posters. i think the grade and time management needs more attention.
260,UC Berkeley,i've never been able to make an appointment despite trying. the ability to make an appointment online without calling a number would be extremely helpful. also just more appointments being available.
261,UNC,need health services that aren’t necessarily people who are on campus so that we could have more privacy.  that is why i’m not using the services provided.  more privacy
262,Stony Brook University,i think having events focused on wellness including fun ones like dog therapy are useful. the mental health counselors can help sometimes but more resources and consuleors should be available. 
263,Penn State,i like that it exists. but i would love if it got expanded more to include a bigger staff to support more students. that way it would be more accessible 
264,UNC,we need more wellness days and the university needs to acknowledge that. doing a schoolwide thing that is not on university day and where are the support groups on campus 
265,Arizona State,"i’m glad that my school offers counseling and mental health services.  however, they are very difficult to get an appointment with and they are not available as a regular counselor."
266,Oberlin,"i really like my therapist, and i've been able to switch around until i found somebody i liked, but i'm having to wait over a month for a psychiatry appointment. "
267,Volunteer State Community College,"put more about getting mental health help/counseling options on the volstate website (or make it easier to find, because i still struggle to find helpful info of who to talk to)"
268,Iowa Central Community College,"i talked to the counselor on staff.  we were able to talk about the challenges as mental health professionals, but itnwas hard to connect to them on a student level."
269,Mizzou,"they do a decent job of advertising what ""is available"". unfortunately, when i've tried to utilize services they were unable to support me due to lack of staff and resources, etc."
270,Rowan,i have used the resources at the wellness center for my mental health even before the pandemic and i think it needs help especially sense what happened last semester 
271,Georgia,the way schoolwork doesn't put itself on hold while we try to find help. it's not like we can focus on our mental health because we have work to do
272,Dordt College,"good college counseling services, just need more supports to reach all students. more acceptance of receiving counseling services/less stigma. requirement of receiving counseling for students in human service professions. "
273,Keene State College,"i have not used any of the college services so i am unsure, but i do see signs around the college about counseling and where to find mental health help."
274,Arizona State,"i really don't know because i have never used any of their mental health services. i know asu has quite a variety of services, but i've never checked them out."
275,Arizona State,"unfortunately, i am not taking advantage of any support provided my college. i am completely unaware of what is available, and i wish i knew more about what was available."
276,Oregon State University,i have a success counselor from the college who's really good at recommending both on and off campus services when a problem is beyond her expertise. she's very open 
277,Portland State University,"they do a good job promating the mental health support and services, but i would like to see more awareness of other mental health issues other than depression and anxiety."
278,UC Davis,i wish there were more counseling in person appointments with a therapist. it is hard to schedule an appointment and hard to find one that aligns with your needs 
279,Florida International University,"from what i know, the school provides a good amount of resources for student mental health, including counseling. i am not aware of any aspects that need more attention. "
280,Ithaca College,i do not really use any mental health services. it might be because there aren’t that many offers; so overall more offers for mental health services would be beneficial 
281,New York University,"i never participated in the wellness services provided by my college; however, my college does offer 24-hour mental health counseling through phone calls (and a mobile app i believe). "
282,Southern Union State Community College,i feel like having more professsionals available online and in person on campus to speak to would help a lot with not just mental health but other resources as well.
283,College of the Siskiyous,i literally never knew that there were mental health services on campus/offered by the college because i take my courses online. more advertising specifically for online students would be great.
284,UNC,i think it should be free for all students who want it. at least 10 sessions with a mental health professional should be available to us each school year.
285,Williams,"as mentioned, i've not taken much of my opportunities to use the wellness services on campus, but from what i've heard an expansion of one-on-one counseling might be useful."
286,Rowan,the pet therapy program is not as effective (i've heard) as the university hoped for. most people are disappointed that money is going towards this than expanding counseling services.
287,UMass Amherst,"ccph is understaffed and underfunded to serve the entire umass community. the programs in place are advertised to students, but the therapy itself is largely inaccessible and unprofessional. "
288,Ohio State,drop-in counselling is not bad. student disability services are fairly accessible as well. it would be nice if counselling was a little easier to understand how to get. 
289,University of Arizona,"the basic counseling works cwell, but i think we need more support for the system so it doesn't take as long, peoploe can see more specialized counselors, etc. "
290,UC Riverside,"mental health and wellness programs based in a college should be more practical. students need help finishing their degrees, that's the biggest stressor from outside and inside their lives."
291,University of Hawaii at Manoa,i'm not fully aware of all the mental health or wellness services provided by the school so i think it needs to be promoted more and posted throughout campus.
292,Clemson,"don’t know, i don’t use them. people need to grow up and learn how to work on their problems themselves instead of playing a victim and demanding help. "
293,Sewanee-The University of the South,the new physical fitness center greatly helps mental health by providing group workout sessions that allow for exercise to benefit the body and mind while also getting human interaction
294,Barnard,"well-woman is working very well in my opinion. i wish that the school would expand it!!!! anxiety and depression in students need more attention, especially during specific seasons. "
295,University of Delaware,my roommate uses the free therapy here and says it works well. i personally have not used many resources provided by the university in terms of mental health. 
296,Oregon,"we have a team of therapists and i believe a few psychiatrists, who provide therapy and can prescribe medication. however, they're just unprepared to deal with so many students."
297,UMich,"therapy dogs seem to be quite popular, but the counseling provided by caps needs to be more accessible to students for longer periods of time before recommending off-campus help."
298,Boston College,"i really enjoyed counseling when i went. however, when they told me i couldn’t do long term counseling, i never heard from them again and felt left alone. "
299,University of Delaware,seans house is nice they have counselors and support animals i think there just needs to be more on site counseling and also let students know where that is
300,UC Davis,i believe their student health and wellness program is good and is an outlet for good resources. i believe their online resources such as tele-counseling needs more help. 
301,IU,there is caps but there is only one free session and there is not a lot of compatibility with insurance providers making it very hard to get help. 
302,Arizona State,"peer counseling is advertised well. however, these are college aged peers. they don't know what they're doing. they should have a certification/program of some kind if they don't already"
303,Haverford College,"caps is working pretty well for me, but i wish there was a way to feel more connected to other students in my effort to improve my mental health."
304,Pitt,i did not know that we were able to get free counseling for a semester. it is still a bit unclear about how to schedule an appointment too. 
305,CWRU,none i’ve been to health counselling several times and the counsellor always ends up leaving cwru after a year. or i just don’t match well with the counsellor 
306,Rochester,certain number of free therapy sessions are good but not enough. quality of therapists seem to be a hit or a miss. i seem to have lucked out.
307,Goshen College,i think during freshman orientation you should connect the students with the  counselors and show them how they can sign up for meetings and stuff  
308,UCLA,general counseling is working well but not everyone reaches out so they need to make bigger emphasis on how and who to reach out snd establish meetings 
309,WashU,there are a good number of available resources but i feel like they should advertise them more. like tell people how (and in what situations) they can help.
310,UT Austin,"we need more counselors, but all of them are great. group counseling is very good and relevant and the mind body labs are very helpful and accessible. "
311,Middlebury College,"telehealth counseling with on-campus, middlebury-hired counselors is working alright. i am hoping that post-covid, there will be more agency in choice to go in-person or maintain online counseling."
312,Virginia Commonwealth University,"vcu needs to offer free, confidential therapy to students  who may not be able to afford a therapist or whose parents dont support the idea of therapy"
313,CU Boulder,there are some resources but i don’t really have time to interact with them nor do i want to. my professors high expectations stress me out the most
314,UC Davis,"each aggie matters is a great program i've seen in social media and at therapy fluffy events, but i don't know what it has to offer beyond that"
315,Tufts,"i haven't struggled much with my mental health over the course of my time here so far, so i have very little experience with the wellness services here."
316,UCLA,the fact that there isn't a way to make it absolutely free is a bit worrying. people shouldn't have added financial concern when seeking mental health help. 
317,University of Minnesota,my college works well in communicating about the various mental health resources on campus. more attention is needed to expanding the mental health department in its diversity. 
318,Florida International University,telecounseling reaches many students who don’t live close to campus. i personally like to go to in person counseling because i like real one in one interaction. 
319,University of Nebraska-Lincoln,"i have not been too concerned with the college’s mental health program since i work for the state and live in lincoln, both of which also have programs."
320,Arizona State,i think that there needs to be more people who care. just be l cause i call a number does not mean they will actually go their job
321,University of Arizona,"i don’t know too much about campus mental health resources, so i can’t say. i do think more effort needs to be put into promoting campus wellness resources."
322,Virginia,"well: constantly reminding students of caps, focus on students with poor mental health, lots of opportunities to seek help
poor: limited focus on maintaining good mental health in students"
323,Sandhills Community College,i am more likely to attend telehealth service. i also would benefit from being able to obtain a prescription for anxiety. and for adhd services which aren’t offered.
324,Florida,cwc counseling is really difficult to get into. drc works really well to help alleviate some of the stressors / pressures that school has on mental health.
325,Stanford,"""mental health"" as a construct needs to be defrocked of its ostensibly unique social healing power that it has been implicitly attributed through increased attention and funding."
326,Ohio State,"when someone needs assistance, i want my college to focus on making sure that person receives the help they need. follow up is not the best. "
327,Williams,people in crises were unable to even get appointments during the fall. that was unacceptable and the college needs to make sure it doesn't happen again. 
328,Johns Hopkins University,the nutritionist at the student health and wellness center used to provide me with a good support for my poor relationship with food and body image. 
329,University of Arizona,"while i'd like to use the campus health options, their availability makes it difficult for me to keep appointments as i'm either in class or fast asleep."
330,University of Massachusetts-Lowell,"i'm not familiar with services provided by the college.
overall, mental health needs to be the foremost important thing to be maintained for each student and staff member."
331,University of Minnesota,info on how to access mental health support on campus should be more readily available and widely discussed. there should also be more resources for getting diagnosis
332,Carnegie Mellon,caps does not really work and it somehow worsen the situation. i talk to my academic advisor about my personal issues and she has been really caring
333,Pepperdine University,"there are a lot of surface level mental health initiatives: therapy dogs, free face masks (for spa, not for covid) offered, etc. little actual counseling referrals. "
334,University of Arizona,"the programs in place are excellent, but there is a cost that some students are unable to pay. mental health services should be free or more discounted."
335,University of Washington,"i used the telecounseling over the pandemic, but i wish i could go past my 4 visits with the addition of more staff at uw for therapy"
336,Virginia Polytechnic Institute and State University,"the campus needs better psychiatrists, the one i got wanted to increase my dose of medication every time, even if it hadn't worked in the past. "
338,UPenn,none work in my opinion. caps was unable to find me a therapist and my only request was a female therapist. so disappointing and embarrassing or penn.
339,Amherst,"the college has a lot of services but medical intervention is typically a band aid for other deeply rooted problems. this is not a college-specific issue, however"
340,Barnard,"yes, but they don't advertise their services well enough and the one time i tried using it they ghosted me so now im hesitant to go back"
341,UNC,"caps is incredibly underfunded and overworks/underpays all its grad student staff, which makes caps a very unhelpful and unfriendly resource even though it's pushed all then time."
342,Rowan,"i enjoy the pet therapy program and i believe that works well, i believe the campus needs more long term therapy options and an in office psychiatrist."
343,Southern Methodist University,i started attending teletherapy through smu during fall 2021. it helped a little at first but i have not been since the beginning of the spring semester.
344,Los Angeles City College,i'm a oss student thus i do get more additional help from my disability and its has more a help tool and assistance in my college life
345,Oakton Community College,"i am not currently aware of what oakton offers regarding mental health wellness but i would really appreciate online help or easier classes directed to those who
struggle."
346,Goshen College,"since the campus is so small, there’s no on-campus health clinic. all of those needs have to be addressed off-campus at a nearby primary care office."
347,Lewis & Clark College,"i think more things that encourage people with average mental health to participate, as i often feel as though i'm not unwell enough to seek help."
348,UC Berkeley,"i like the service of in-person counseling at the tang center, but i wish i was able to get more frequent visits rather than every month"
349,Rowan,"i don’t know, it seems that the community is mad with the ability of the university’s ability to communicate with students have a difficult time "
350,Syracuse,syracuse does not care much for the mental health of its students who are drowning in debt thanks to the renovation of the carrier dome. 
351,Ohio State,students shouldn't be put on a waitlist for months when they apply for student counseling. there should be enough staff to provide students with immediate help
352,University of Minnesota,i think more accessibility for free therapy sessions would be incredibly helpful. the free online meditation sessions see like a great opportunity and helpful resource. 
353,South Carolina,therapists are very high quality. there needs to be more of them so patient caseload per provider are not increased but more students can be seen.
354,Stanford,the wellness counseling is spectacular but please give them a raise and expand the staff.  i had to wait a month to get help sometimes.
355,Stony Brook University,"the weekly counselor appointments. finding the right counselor for a student is important, and i don’t think my student health services has done that effort. "
