,School,Comment
115,Florida,"Zoom counseling is available if needed for a few free sessions. However, it's done by people who are just learning so it's somewhat limited. Psychiatry and other services are done by referral through the original counselor or through a third party and feel out of reach."
116,Crowder College,"We have a good on campus councilor that addresses almost all of the problems that the students at our campus report, but she does have a hard time getting to the root of the problem when the student is not entirely sure what the problem is."
117,University of Alaska,The UAA Student Health and Counseling Center and UAA Care Team services are great services provided by my college to help students who are struggling with mental health issue. Students also have the option to anonymously advocate for teh wellness of a fellow student. 
118,University of Arizona,I think the cost of some mental health resources is what is not working well. Our diversity of the counselors can be improved upon because some people are more comfortable with a woman over a man or need someone closer to them in race/ethnicity. 
119,UT Dallas,"Having six sessions for free is great- they're really triage though, and getting told straight up at your intake appointment that your issues are above their expertise level is pretty disheartening to say the least, lol. That's the game with college campus services I guess."
120,University of Alaska,"I honestly think all of it is amazing so far, I visit the therapists and nurses a lot right now and it’s all been covered by tuition and fees. Everyone is super friendly and I always leave feeling like I had everything taken care of"
121,Arizona State,I feel like the teachers need more training and understanding of how different mental illnesses affect school work. I have had many teachers be patient with me but also a handful who have completely blown me off and wouldn’t help me in any way. 
122,UTK,"I know my college campus provides some therapists on-campus for students, which is great. However, I have heard from others that the service is very, very limited. You can only have a certain amount of appointments, and the amount of therapists is too small. "
123,Notre Dame,I mean we have a counseling center which I guess is something but we are severely understaffed and it's very difficult to get an appointment during hours and impossible after business hours so you better not have any problems on the weekends I guess.
124,USC,"Though I have never attended, I appreciate the Let's Talk drop-in sessions available through my school. What might need more attention is the availability of counseling sessions, as I remember when I tried to make an appointment back in 2020 there were none available."
125,Mercer ,"Offering CAPS is a great way to provide wellness. However, the resource is the only thing offered regarding mental health, and more students than ever are suffering. There needs to be other options besides CAPS, which only benefits certain people, but definitely not all."
126,UB,"Probably free counseling due to there not being any issues. I would say just keeping in touch with people in general. Even if people put on a face, if you see them more often you'd probably see what kind of issues they're dealing with."
127,College of DuPage,I do need help with mental health personally but I know a lot of people who have no one to go to so I think it would be nice if we had people like that . Just Someone people could go to to talk.
128,Temple,"Tuttleman Counseling is nice when you have access to a counselor, but not many people seem to have the privilege of that, since many are referred out. I think there should be more done related to trauma and news, such as racially-charged incidents "
129,Stony Brook University,"CAPS needs to add an option for students to schedule appointments online, not just over phone. I have friends who struggle with phone anxiety that would greatly benefit from counseling services, but cannot make the phone call to set up an appointment. "
130,CU Boulder,"Working Well: Communication of help available

Not Working Well: The help available. Student issues feel like they are not often taken as seriously as they should be and the clinic is often booked far out, meaning a student in crisis now cannot get help."
131,Wellesley,"What was the worst for me was the fact that the mental health resources of the school aren't available for study abroad students, which I get is due to licensing but I would have appreciated more resources being available during study abroad programs."
132,Barnard,"Not much in my opinion I’d working well. I think the diversity needs to increase for the counselors available, there really needs to be an increase in counselors too since scheduling is so limited and it could take weeks to get an appointment."
133,Arizona State,"Success coaching has been good, but could be more personal and those questions of mental health could be asked without pressuring the student. A personal connection to feel like someone is on your side and there to listen really helped in those meetings."
134,Harrisburg Area Community College,"I love that there is an option of taking a mental health day as a student, it goes a long way. Something that could be improved is the flexibility of the “mental health day” for students in a more fast paced programs(e.g nursing)."
135,Coastal Carolina Community College,"I mean, you have to actively look for someone like a counselor to help you.. I only know of people because I'm close to some faculty.. so there's no way to really know they're there without seeking, but they are always available. "
136,CU Boulder,"There are plenty of resources that are helpful like a certain amount t of free counseling sessions, but the staff are not diverse which does not help any students that would like to talk to someone they feel they can relate to"
137,Florida,"I think the short-term sessions are great, but the fact that it can take months to get a consultation before starting to talk to someone is ridiculous. A person’s mental state could severely deteriorate before they’re able to see someone on campus."
138,Arizona State,"There is a lot of awareness about resources, but that awareness does not translate to accessibility. For example, the SAILS program is mentioned often by professors, TAs, on-campus health staff, etc., but getting an appointment and getting accommodations approved takes weeks. "
139,Stony Brook University,I like the idea of CAPS but it seems very small compared to the need on a large campus. I have looked at it before but not sure if they had someone who could help for what I am looking for. 
140,University of Washington,"I don't really use the mental health or wellness services from my college, but I used the call system once and it didn't help very much since they weren't connected with the school. They weren't able to talk to professors or anything"
141,Haverford College,I don't really use any of the services on campus but I've heard from friends that they just aren't very good at what they do? I'm also aware that it's really hard to get an appointment and get a therapist on campus
142,WashU,The Habif mental health staff need more attention. There is such little staff that appointments are RARE. Uncle Joes is a good resource but students shouldn’t have to rely on peers due to inaccessibility to professional mental health services on campus.
143,Arizona State,"I haven't went to mental-health counseling because I take care of my mental health alone majority of the time, but I would say depression and anxiety are some major aspects of mental health that needs more attention that it already has."
144,Arizona State,I feel that the in person counseling services are very accessible. I feel like there is very little awareness of the limitations of the campus counseling and what steps a student should take to get help beyond steps 1 or 2.
145,Arizona State,I would say currently they have done a great job in making it known services are available and how to use said services. I would say there should be a way for them to focus past issues of anxiety and depression.
146,Arizona State,"I think that having counseling students intern as counselors is helpful because there is less intimidation when talking to them, but on the other side of that I feel as thought they may not be entirely qualified to help some people"
147,Ohio State,"I like the counseling that is offered but wish there was a way (covered by insurance) to get my medications. It’s so hard to get a psychiatrist appointment right now, and even harder to find ones that are covered. "
148,University of Alaska,I think it's a good thing that people with mental health issues can get special support.  I think it would be an improvement if people were given more opportunities to do activities with others that tend to improve wellness.
149,Arizona State,"An aspect that needs more attention is the understaffing of CS on campus, I know students that have gone for initial consultations only to be directed elsewhere after and they didn’t continue with that for one reason or another "
150,Washington Adventist University,"Telehealth has helped me alot with my mental health issues. However, I wish we had in-person counselors on campus because it is not the same talking to someone over a zoom call or on the phone as in person. "
151,UMich,"None, psychologist and therapist appointments are months out and if you go to them saying you're in an emergency you're locked up in the pysch ward for 72 hours with no beds, food, or phone access to call for help"
152,Youngstown State University,"I'm not to sure as I have not gone for help, but from what I have heard, they are quick to diagnose kids with ADHD and give them medication. Some kids' problems are more deeply rooted and greater than ADHD"
153,UIC,"The wellness center and the commuter center are great resources and communicate well through emails. I enjoy the events they organize.

I would like there to be more information about where and how to get in contact with a wellness counseler."
154,South Carolina,"There are options, and they are fairly knowledgeable.  However, they are too focused on crisis intervention and not focused enough on providing services for those who are not in crisis but still struggle a lot with their mental health."
155,UPenn,"The counselors and psychiatrists work very well when you can get an appointment. However, you generally have to wait weeks or months to get a first appointment and the physical location of the services is so far away from campus."
156,College of the Sequoias,"I have not used any programs, but I have noticed their availability and the schools encouragement to utilize those services. I think they have done incredibly well, but making private, over the phone resources more well known would be helpful."
157,UConn,"I think the on-call talks with social workers to get service or talk about the current struggles I may have at the moment. But, I wish there is more availability like a wider span of times and days. "
158,UMich,The counseling center is just burdened with the amount of students that need help. It's simply the volume of students that need help. The services aren't even that bad if they were just able to reach more people. 
159,Colorado School of Mines,"I can’t really say anything works well. I called our counseling center in spring 2021 and referred to an off campus online therapy service, had my appointments that I waited months for canceled twice. It was pretty disheartening "
160,Oberlin,"Current counseling services are lacking. Would MUCH prefer off campus counseling, also gives students a chance to get off campus, which in of itself feels like a suffocating prison surrounded by crime if you leave to the East "
161,Arizona State,"From what I know, the only type of mental support that exists on my campus is the counseling services we can go to but that's about it. Definitely need to provide a variety of options to seek mental health"
162,MIT,Expertise - I felt like I was talking to myself and solving my problems because my therapist didn’t give a professional opinion at a time when I thought I had many things wrong with me and needed clarity. 
163,University of Minnesota,"I tried reaching out to campus mental health service online last semester, which was when i needed the most help but didnt get reply till now. So now i just tried to not rely on them and help myself"
164,George Mason University,"Overall everyone was very understanding and were patient with me. However, the department only allows calls to set appointments which is not easy for those with mental health issues/concerns. Having an email system would be much more inviting. "
165,Alabama,I understand counseling is a profession but we pay so much in tuition and counseling on campus still costs money. Many don’t seek help because they cannot afford it due to the insane tuition prices they’re already paying. 
166,Barnard,"I think it would be more helpful to increase the amount of psychiatric services provided. I really appreciated that they were available, but getting access to them was very challenging, and they weren't a long-term solution, which was frustrating."
167,EKU,"whenever i’ve tried making an appointment with my colleges therapists, they never really have time slots available when i’m available, so i think it might help if they had more therapists available during more times throughout the day "
168,Louisville,None of them. We only have one counseling office and it was so backed up that it took me a month to even get a triage/meeting and they simply forgot to send me the email FOR the triage. 
169,Arizona State,"Ultimately, I believe that my university is very well educated on and equipped for offering diverse and more than sufficient mental health resources, and it now comes down to student choice and students approaching and accepting the proffered help."
170,UMass Amherst,There are not enough counselors and I have heard so many stories (including my own experience) where friends have wanted to go to counseling services and they are told they have to wait months to book an appointment
171,University of Arizona,"I think that there are a large variety of mental health treatment options to help students who are experiencing a wide variety of situations. However, I think it is not as accessible as it could be (price wise)."
172,University of Wisconsin-Madison,"My school has a 24 hour crisis line and counseling services available to all students. However, the amount of appointments that a student can have and the wait time to get an appointment is a serious barrier. "
173,Virginia,"Many students have complained that the therapists and counseling services offered through the University are unhelpful at best. Therapists are described as apathetic and dismissive of issues, while the pace of referrals and appointments is extremely sluggish. "
174,Arizona State,"I have never used counseling services at ASU; however, I have highly considered giving it a try. I would like more attention on being physically ""at peace"" (i.e. coming to terms with how you look, accepting your body)."
175,Salt Lake Community College,"I appreciate SLCC efforts for inclusion and diversity. Despite the fact that we still have a long way to go, I feel like SLCC does the best job out of all major universities/colleges in the whole state. "
176,Three Rivers College,There is one counselor that the college pays for (until fall semester this year) named Ryan Walker and he's been great. I just feel it's not a good idea to have 1 person for thousands of students. 
177,UC Berkeley,The undocumented student program runs individual and group sessions which supplements the times when you don't have an individual appointment. I think more staff should be hired so that they can reach more students on time. 
178,Stony Brook University,"No, they just redirect me to my in network resources, but they are generally very racist places to be, so very unhelpful. I ended up going through my primary physician after months of wasting time with SBU."
179,Arizona State,"The website and app seems helpful, but a little confusing! I tried to find a counselor, but then I got too busy and it didn’t work out, so I don’t have too much experience with it! "
180,UTK,"There are mental health resources widely available, which is extremely beneficial. However, there is such a long waitlist for counseling sessions, so my fear is that people who need urgent help are not going to receive it."
181,Arizona State,"I have not utilized the campus health or wellness services because I have my own resources that I consider more private. As an online student, I don't feel I have the same access that on-campus students enjoy."
182,UTEP,I feel that every aspect of that UTEP  has on mental health is going well. It would be nice to see more advertisements of our mental health resources on and off campus that are offered. 
183,University of Kansas,"I felt like the school just kinda pushed my mental health aside when I met with a counselor. They just referred me to a therapy group in the town, but I couldn’t go there due to insurance"
184,Miami University,Only time I've had experience with these services was when my professor let the school know I was going though a difficult time so you guys reached out. That was nice because it was prompt and helpful
185,UC Merced,They have a center called CAPS that you can make appointments with but they are always filled up. That is pretty much all they have so I'd wish they had more options or more space available
186,Tufts,I think the mental health department is good but just lacking funding and resources. It’s hard to schedule staff for counseling appointments and there also isn’t much importance placed on mental health in comparison to schoolwork.
187,Northern Arizona University,"they don't have enough counselors and they also don't really do a lot of specified work, but a lot of places off campus are wildly expensive, so there's limited options to get help for serious diagnoses/ESAs/etc."
188,UB,"We need more accessibility to on-campus counseling services. What UB has right now is not sufficient, especially when they don't really help and are hard to reach. The limits on counseling appointments is not helpful either."
189,Haverford College,"On campus free therapy, makes it affordable and an option for everyone on campus. We need more therapists, though, because wait times are extremely long. Also, a dedicated health and wellness building would be beneficial. "
190,University of Washington,I have looked at group counseling but they are still remote. I am tired of remote and don't want it simple because it's remote. If it were in person I would definitely go to group therapy.
191,George Mason University,"The help seems alright, I personally don’t know how to fix it. But I think for most students it’s scary going in for the first time so somehow making it more normalized or welcoming could help"
192,Utah,Theres a lot of resources which is nice but the biggest issue is a high turn over rate of college counselors which lessens wanting to seek help on campus and professors not being lenient/understand nag 
193,UIC,"I feel that at first the group therapy was helpful as a stress relief, but eventually it became an anxiety of having to participate and eventually feeling uncomfortable in that environment sharing my personal issues. "
194,Ohio State,"Students are advocating for themselves and their peers and the University addresses the fact that they need more mental health resources. At this point, we just need them to take action and do something about it."
195,Arizona State,"I haven’t been provided with very many services or supports, but it would be nice to have a mediator system to be able to mediate mental health discussions with resistant professors to be heard better"
196,Georgia,"I think the college needs to focus on getting more therapists and people to help students. I tried signing up for mental health services and was put on a waitlist, which didn’t help me any"
197,University of Arizona,"The services are intimidating to even learn about online, and expensive. It's futile to have mental health services if they aren't free; financial struggles are some of the biggest stressors leading to mental health crises....."
198,New York University,I know we have the wellness center but I have not used it. From my friends that have I hear staffing is the biggest issue since there are so many students and not enough counselors.
199,Emory,Timely MD was a great addition. Just all psychiatry as a whole. Students should be able to get in to see someone immediately. Mental health isn't something that can wait a couple of months. 
200,Rowan,"The mental health services in the Wellness Center are really good, as there are many different options for treatment. However, the college sometimes has a difficult time communicating these resources with the student population "
201,Arizona State,"I know nothing of the mental health services offered on campus. 

Even if I did, seeking them out would require me to pay even more for parking which already is a large financial stressor. "
202,Stony Brook University,"While I have not used the mental health services on campus, I am aware that they have a 24 hour hotline which I appreciate. However, I have heard that the counselling is not particularly useful"
203,Stony Brook University,I haven’t used any of stony mental health resources so i’m not sure but based on other peoples experiences i believe they should have a 24 hour service with people who are more empathetic 
204,Stony Brook University,"The student support team at my college has been very helpful in supporting my mental health.

I think more attention should be paid on the negative impact of stress from school has on students' mental health."
205,Virginia,"The counselor I saw was very kind and helpful in connecting me to resources. However, emergency services are lacking and therapy visits can only do so much for the overall wellness of the student community."
206,Davidson College," Mainly one counselor, Jasmine, has been helpful. Need more services/talks about nutrition/body image for students of color and athletes of color because Elizabeth Allred is not a safe space to discuss either of those."
207,University of Nebraska-Lincoln,"The college provides very limited mental health support. It is there for small issues, like friendship or homesickness. It is NOT for deep rooted issues or anything further than a little anxiety and depression"
208,New York University,"What’s working wel is they’re heavily connected with external sources. However, I do think they need to hire more psychiatrists so that people can quickly go through REAL treatment and be prescribed medication. "
209,Sewanee-The University of the South,Nothing works as well as it should.  We need more counselors and psychologists who will help and not collect an hourly coin as my friends share their issues with no guidance or resolve.
210,University of Arizona,"CAPS is working particularly well, but only for short-term issues. I wish there was a better option for long-term therapy with less focus on doing well academically and a bigger focus on holistic outlooks"
211,University of Washington,"Maybe something surrounding family. I know from experience that talking about your mental health and emotions isn’t something families to normally and it makes it extremely hard to open up, even to friends "
212,UB,"I hear none, and the major I'm in(Computer science) is not taking care of the feeling of the students at least in my perspective. There is just a due day over another due day."
213,UNC,One on one counseling was working well. However this support was short term. I did it for a semester but there is not many options for support for me on campus after that semester.
214,University of California-Santa Barbara,"I think that there needs to be greater accessibility to on campus counseling and therapy. If it was easier to get an appointment, or talk to someone over the phone, it would be easier"
215,Youngstown State University,My experience with the colleges mental health services was perfect I can't really suggest anything to improve it beyond what I experienced. However that does not mean there is not room for improvement somewhere.
216,Arizona State,"Telehealth is easily accessible. But I hope there’s more information on mental health and how to handle it whether it would be you or your friends. Also, more information on how to get therapy."
217,Arizona State,I think there needs to be more options for Online students. I get all the info about on campus options but I’m not ever on campus - I’m an out of state student. 
218,UMass Amherst,I think the university does a good job advertising different support groups but I think that there should be more access to counselors. I have heard that it is difficult to find an appointment
219,Oregon,I think virtual counseling/telecounseling through Zoom has been extremely helpful because more students are willing to seek help when they don’t have to meet the counselor in person due to anxiety and other reasons.
220,Moody Bible Institute,The MTS Counseling Center is flexible with their pricing which I really appreciate. I think that there needs to be more map instructions/how to get to counseling's physical locations in the counseling posters. 
221,Brigham Young University-Idaho,There is a counseling center but it is always booked months out and by the time you get to a meeting I’m not sure your concern would be needed to be addressed anymore. 
222,Stanford,"Haven't used it to know--but from my impression limited attention is given to men/male issues due to sexism, and inability to address issues faced by Christians being persecuted (for instance from own family)"
223,Ohio State,"OSU’s counseling and consultation services is a complete mess. It is advertised as a therapy option, yet students in crisis aren’t able to get in for months, and the help is near useless"
224,Rutgers,"One-on-one Therapy Talks 

Aspects of mental health and wellness that need more attention would probably be more of a psychiatrist on campus that can diagnose if someone has any sort of disorder. "
225,College of Charleston,"I can't say I've used any services personally, but I know there's always signs and posters for the cougar counseling and the texting line thing that they have, and that seems good. "
226,UIC,"I have not used any of them, but I heard that my classmates really appreciate the services that the college offers. Although I do feel that they should advertise these services more. "
227,UC Riverside,Yeah I’ll be there at around noon and I just got home and I’ll get back home from church lol I have a lot of stuff going to my house so I’ll 
228,Tufts,"We need so much more, it is impossible to get an appointment in an at all reasonable amount of time, and with mental health, this is a major issue and can be dangerous."
229,Emory,"I haven’t implemented most of the mental health resources, but I’d hazard a guess that, like in all other areas, Emory could stand to strengthen its communication skills in regards to mental health."
230,George Mason University,I haven’t used campus services because I get confused about the extent of the services provided. And word of mouth from other students about their poor experiences made me doubt campus services. 
231,Arizona State,In my opinions I don’t think any of the ASU offered wellness services work. They are never really able to help students. I think the entire department needs to be reevaluated and help.
232,Wheaton College (1),I would like more on-campus assistance regarding the diagnosis of mental illness or learning disabilities. I'm currently in the process of seeking a diagnosis and I wish there was more support on campus.
233,Western New England University,"I am not sure; I have not used any yet. I believe spreading information about services, specifically counseling services, should get more attention. Maybe looking at doing in-person counseling should be looked at."
234,UTEP,I believe that the concealing is working very well on my campus however showing students how to use it and why it is important to use it is an aspect that needs attention
235,Santa Barbara City College,I’m not sure; I’ve sought mental health services outside of school because of concern that struggles I’ve had related to the nursing program would be shared and jeopardize my success in it. 
236,UConn,the cheap sessions offered by grad students supervised by professionals seems like a really good way to give everyone access even if they dont have insurance or dont want their parents to know
237,UMich,"To be honest, they always say there are opportunities, but I've heard plenty of horror stories from both UHS psych and bad experiences at CAPS that I hesitate to rely on them"
238,Ohio State,"I gave up on my college's mental health services long ago. I reached out to them expressing that I was suicidal, and I was put on a four month long waiting list."
239,Florida International University,I believe the therapists being offered are working well because although I haven’t attended any therapy session I’ve had friends who have and they had positive things to say about it. 
240,University of Illinois at Urbana-Champaign,"Campus needs more people to provide more long term services. If you want individual attention, you only get it for a semester, so it would work better if there were more staff."
241,Florida International University,I have not had the opportunity to experience any of my college’s mental health & wellness services but I know that they are well equipped to accommodate students with mental health issues.
242,Arizona State,"I know that many (or all) professors include mental health help information in the course syllabus. However, it is not usually the first place one may think to get the resource information."
243,Barnard,I think the college does a good job of letting people know where they can get certain services but they could work on making those services more accessible and also more approachable
244,Brigham Young University-Provo,I'm not at all aware of what resources are available. It would be great if the university could do more to make students aware of what kind of supports they can find.
245,UConn,What works well is the events they plan every once in a while that bring awareness to mental health. What doesn't work well is the lack of availability of in person counseling.
246,University of Arizona,"I'm not sure since I haven't used these services before. Personally, I would spend more attention on personal relationships since that's what has been affected the most throughout the pandemic for me
"
247,Arizona State,I feel like the ability to talk to a counselor through the campus whenever you need it is a good resource. I wish that there was a psychiatric professional available on campus.
248,University of Arizona,"CAPS, it is very difficult as a student and having professors seem to disregard mental health. Perhaps flagging when a good student is failing, or isn’t showing up to classes. Helping them?"
249,Ole Miss,The presentation of possible services such as telehealth and the ease of use for mental health services is good. I think mental health check ups could be implemented through the semester more.
250,UCLA,I think the triage needs more attention. It seems excessive to wait at least 45 minutes to get help. But their referral plan has excellent rates if you have school insurance. 
251,Middlesex Community College (1),"I’m not sure, but we have emails being sent out but it’s hard for us to see them due to us needing to log in and look NF or them personally "
252,Monroe Community College,We have a counselor and my coach has bi weekly meetings for mental health. Im not sure what else other than a nurse on campus who could like prescribe medication would help.
253,Marian University (1),I only know of one mental health employee but do not know how to reach them or what to do. The therapy they provide is also catholic based which I am not
254,Williams,"There are not enough therapists, and campus culture as a whole is pretty toxic when it comes to mental health. The response from the administration is not consistent across professors "
255,UC Davis,"The resources are top notch when you are able to access them, although unfortunately it is so difficult to even try to get an appointment because they are all booked CONSTANTLY!!!!!!!!!!"
256,UMass Amherst,I haven't used any mental health services on campus so I can't really answer that question. I think one thing that needs to be focused on more is just overall loneliness.
257,Rowan,"I like the therapy dogs at the wellness center, and the staff that they have there are nice. I think it just needs to be expanded to accommodate more students. "
258,University of North Carolina at Charlotte,The school's CAPS program overall is ok. Sessions are very limited so right when I felt I was finally making progress I hit the limit on my sessions for the semester.
259,George Mason University,I think college does a great job with weekly emails and information spread throughout the campus through various announcements and posters. I think the grade and time management needs more attention.
260,UC Berkeley,I've never been able to make an appointment despite trying. The ability to make an appointment online without calling a number would be extremely helpful. Also just more appointments being available.
261,UNC,Need health services that aren’t necessarily people who are on campus so that we could have more privacy.  That is why I’m not using the services provided.  More privacy
262,Stony Brook University,I think having events focused on wellness including fun ones like dog therapy are useful. The mental health counselors can help sometimes but more resources and consuleors should be available. 
263,Penn State,I like that it exists. But I would love if it got expanded more to include a bigger staff to support more students. That way it would be more accessible 
264,UNC,We need more wellness days and the university needs to acknowledge that. Doing a schoolwide thing that is not on university day and where are the support groups on campus 
265,Arizona State,"I’m glad that my school offers counseling and mental health services.  However, they are very difficult to get an appointment with and they are not available as a regular counselor."
266,Oberlin,"I really like my therapist, and I've been able to switch around until I found somebody I liked, but I'm having to wait over a month for a psychiatry appointment. "
267,Volunteer State Community College,"put more about getting mental health help/counseling options on the volstate website (or make it easier to find, because I still struggle to find helpful info of who to talk to)"
268,Iowa Central Community College,"I talked to the counselor on staff.  We were able to talk about the challenges as mental health professionals, but itnwas hard to connect to them on a student level."
269,Mizzou,"They do a decent job of advertising what ""is available"". Unfortunately, when I've tried to utilize services they were unable to support me due to lack of staff and resources, etc."
270,Rowan,I have used the resources at the wellness center for my mental health even before the pandemic and I think it needs help especially sense what happened last semester 
271,Georgia,The way schoolwork doesn't put itself on hold while we try to find help. It's not like we can focus on our mental health because we have work to do
272,Dordt College,"Good college counseling services, just need more supports to reach all students. More acceptance of receiving counseling services/less stigma. Requirement of receiving counseling for students in human service professions. "
273,Keene State College,"I have not used any of the college services so I am unsure, but I do see signs around the college about counseling and where to find mental health help."
274,Arizona State,"I really don't know because I have never used any of their mental health services. I know ASU has quite a variety of services, but I've never checked them out."
275,Arizona State,"Unfortunately, I am not taking advantage of any support provided my college. I am completely unaware of what is available, and I wish I knew more about what was available."
276,Oregon State University,I have a success counselor from the college who's really good at recommending both on and off campus services when a problem is beyond her expertise. She's very open 
277,Portland State University,"They do a good job promating the mental health support and services, but I would like to see more awareness of other mental health issues other than depression and anxiety."
278,UC Davis,I wish there were more counseling in person appointments with a therapist. It is hard to schedule an appointment and hard to find one that aligns with your needs 
279,Florida International University,"From what I know, the school provides a good amount of resources for student mental health, including counseling. I am not aware of any aspects that need more attention. "
280,Ithaca College,I do not really use any mental health services. It might be because there aren’t that many offers; so overall more offers for mental health services would be beneficial 
281,New York University,"I never participated in the wellness services provided by my college; however, my college does offer 24-hour mental health counseling through phone calls (and a mobile app I believe). "
282,Southern Union State Community College,I feel like having more professsionals available online and in person on campus to speak to would help a lot with not just mental health but other resources as well.
283,College of the Siskiyous,I literally never knew that there were mental health services on campus/offered by the college because I take my courses online. More advertising specifically for online students would be great.
284,UNC,I think it should be free for all students who want it. At least 10 sessions with a mental health professional should be available to us each school year.
285,Williams,"As mentioned, I've not taken much of my opportunities to use the wellness services on campus, but from what I've heard an expansion of one-on-one counseling might be useful."
286,Rowan,The pet therapy program is not as effective (I've heard) as the university hoped for. Most people are disappointed that money is going towards this than expanding counseling services.
287,UMass Amherst,"CCPH is understaffed and underfunded to serve the entire UMass community. The programs in place are advertised to students, but the therapy itself is largely inaccessible and unprofessional. "
288,Ohio State,Drop-in counselling is not bad. Student disability services are fairly accessible as well. It would be nice if counselling was a little easier to understand how to get. 
289,University of Arizona,"the basic counseling works cwell, but i think we need more support for the system so it doesn't take as long, peoploe can see more specialized counselors, etc. "
290,UC Riverside,"Mental health and wellness programs based in a college should be more practical. Students need help finishing their degrees, that's the biggest stressor from outside and inside their lives."
291,University of Hawaii at Manoa,I'm not fully aware of all the mental health or wellness services provided by the school so I think it needs to be promoted more and posted throughout campus.
292,Clemson,"Don’t know, I don’t use them. People need to grow up and learn how to work on their problems themselves instead of playing a victim and demanding help. "
293,Sewanee-The University of the South,The new physical fitness center greatly helps mental health by providing group workout sessions that allow for exercise to benefit the body and mind while also getting human interaction
294,Barnard,"Well-woman is working very well in my opinion. I wish that the school would expand it!!!! Anxiety and depression in students need more attention, especially during specific seasons. "
295,University of Delaware,My roommate uses the free therapy here and says it works well. I personally have not used many resources provided by the university in terms of mental health. 
296,Oregon,"We have a team of therapists and I believe a few psychiatrists, who provide therapy and can prescribe medication. However, they're just unprepared to deal with so many students."
297,UMich,"Therapy dogs seem to be quite popular, but the counseling provided by CAPS needs to be more accessible to students for longer periods of time before recommending off-campus help."
298,Boston College,"I really enjoyed counseling when I went. However, when they told me i couldn’t do long term counseling, i never heard from them again and felt left alone. "
299,University of Delaware,Seans house is nice they have counselors and support animals I think there just needs to be more on site counseling and also let students know where that is
300,UC Davis,I believe their student health and wellness program is good and is an outlet for good resources. I believe their online resources such as tele-counseling needs more help. 
301,IU,There is CAPS but there is only one free session and there is not a lot of compatibility with insurance providers making it very hard to get help. 
302,Arizona State,"Peer counseling is advertised well. However, these are college aged peers. They don't know what they're doing. They should have a certification/program of some kind if they don't already"
303,Haverford College,"CAPS is working pretty well for me, but I wish there was a way to feel more connected to other students in my effort to improve my mental health."
304,Pitt,I did not know that we were able to get free counseling for a semester. It is still a bit unclear about how to schedule an appointment too. 
305,CWRU,None I’ve been to health counselling several times and the counsellor always ends up leaving CWRU after a year. Or I just don’t match well with the counsellor 
306,Rochester,Certain number of free therapy sessions are good but not enough. Quality of therapists seem to be a hit or a miss. I seem to have lucked out.
307,Goshen College,I think during freshman orientation you should connect the students with the  counselors and show them how they can sign up for meetings and stuff  
308,UCLA,General counseling is working well but not everyone reaches out so they need to make bigger emphasis on how and who to reach out snd establish meetings 
309,WashU,There are a good number of available resources but I feel like they should advertise them more. Like tell people how (and in what situations) they can help.
310,UT Austin,"We need more counselors, but all of them are great. Group counseling is very good and relevant and the mind body labs are very helpful and accessible. "
311,Middlebury College,"Telehealth counseling with on-campus, Middlebury-hired counselors is working alright. I am hoping that post-COVID, there will be more agency in choice to go in-person or maintain online counseling."
312,Virginia Commonwealth University,"VCU needs to offer free, confidential therapy to students  who may not be able to afford a therapist or whose parents dont support the idea of therapy"
313,CU Boulder,There are some resources but I don’t really have time to interact with them nor do I want to. my professors high expectations stress me out the most
314,UC Davis,"Each Aggie Matters is a great program I've seen in social media and at therapy fluffy events, but I don't know what it has to offer beyond that"
315,Tufts,"I haven't struggled much with my mental health over the course of my time here so far, so I have very little experience with the wellness services here."
316,UCLA,The fact that there isn't a way to make it absolutely free is a bit worrying. People shouldn't have added financial concern when seeking mental health help. 
317,University of Minnesota,My college works well in communicating about the various mental health resources on campus. More attention is needed to expanding the mental health department in its diversity. 
318,Florida International University,Telecounseling reaches many students who don’t live close to campus. I personally like to go to in person counseling because I like real one in one interaction. 
319,University of Nebraska-Lincoln,"I have not been too concerned with the college’s mental health program since I work for the state and live in Lincoln, both of which also have programs."
320,Arizona State,I think that there needs to be more people who care. Just be l cause I call a number does not mean they will actually go their job
